new_ID	PAIR	PREREQUISITE	TARGET	ID_SENT	AGREEMENT	SENT -1	SENT	SENT +1
1	ACCESS_INTERNET_SERVICE_PROVIDER%ANALOG_TELEPHONE_ADAPTER	ACCESS INTERNET SERVICE PROVIDER	ANALOG TELEPHONE ADAPTER	316	1	For instance, to receive calls, a Skype user must leave his or her PC connected to the Internet and available to the Skype system, which means that some of the PC's resources may be used to support other Skype communications without the PC owner's awareness-a feature that has generated some resistance.	A second form of voice over internet protocol consists of analog telephone adapters, which are devices that allow a user to connect his or her traditional telephone to phone service provided by an access internet service provider.	This choice is frequently bundled with traditional Internet service and/or digital television service.
2	ACCESS_INTERNET_SERVICE_PROVIDER%CONTENT_DELIVERY_NETWORK	ACCESS INTERNET SERVICE PROVIDER	CONTENT DELIVERY NETWORK	344	3	In order for this type of streaming to scale to thousands or even millions of simultaneous users, each with his or her own personal stream, replication of the content to many distinct servers is essential.	Large-scale streaming services make use of content delivery networks (CDNs), groups of servers distributed strategically around the Internet that specialize in streaming copies of content to nearby end users in their network " neighborhood ".	In many cases, content delivery networks machines may reside in an access internet service provider network, allowing customers of that access internet service provider to stream copies of multimedia content at high speed from a nearby server that is much closer in the network than the streaming service's central server machines.
3	ACCESS_INTERNET_SERVICE_PROVIDER%CONTENT_DELIVERY_NETWORK	ACCESS INTERNET SERVICE PROVIDER	CONTENT DELIVERY NETWORK	345	3	Large-scale streaming services make use of content delivery networks (CDNs), groups of servers distributed strategically around the Internet that specialize in streaming copies of content to nearby end users in their network " neighborhood ".	In many cases, content delivery networks machines may reside in an access internet service provider network, allowing customers of that access internet service provider to stream copies of multimedia content at high speed from a nearby server that is much closer in the network than the streaming service's central server machines.	A networking technology called anycast, which enables an end user to automatically connect to the closest server out of a defined group of servers, helps to make content delivery networks practical.
4	ACCESS_INTERNET_SERVICE_PROVIDER%END_SYSTEM	ACCESS INTERNET SERVICE PROVIDER	END SYSTEM	188	4	Examples include cable and telephone companies that charge for their service as well as organizations such as universities or corporations that take it upon themselves to provide internet access to individuals within their organizations.	The devices that individual users connect to the access internet service providers are known as end systems or hosts.	These end systems may be laptops or PCs, but increasingly range over a multitude of other devices including telephones, video cameras, automobiles, and home appliances.
5	ACCESS_INTERNET_SERVICE_PROVIDER%HOT_SPOT	ACCESS INTERNET SERVICE PROVIDER	HOT SPOT	205	2	These technologies may be used to provide direct connection to an end system or to a customer's router to which multiple end systems are connected.	This latter tactic is popular for individual residences where a local hot spot is created by a router / access point connected to an access internet service provider by means of existing cable or telephone lines.	Telephone, cable television, and satellite wide area networks of the twentieth century were designed to carry analog communications, such as the human voice or pre-digital television signals.
6	ACCESS_INTERNET_SERVICE_PROVIDER%INTRANET	ACCESS INTERNET SERVICE PROVIDER	INTRANET	186	2	Access to this core is usually provided by an intermediary called an access or tier-3 internet service provider.	An access internet service provider is essentially an independent internet, sometimes called an intranet, operated by a single authority that is in the business of supplying internet access to individual homes and businesses.	Examples include cable and telephone companies that charge for their service as well as organizations such as universities or corporations that take it upon themselves to provide internet access to individuals within their organizations.
7	ACCESS_INTERNET_SERVICE_PROVIDER%INTRANET	ACCESS INTERNET SERVICE PROVIDER	INTRANET	186	3	Access to this core is usually provided by an intermediary called an access or tier-3 internet service provider.	An access internet service provider is essentially an independent internet, sometimes called an intranet, operated by a single authority that is in the business of supplying internet access to individual homes and businesses.	Examples include cable and telephone companies that charge for their service as well as organizations such as universities or corporations that take it upon themselves to provide internet access to individuals within their organizations.
8	ACCESS_INTERNET_SERVICE_PROVIDER%REGISTERED_DOMAIN	ACCESS INTERNET SERVICE PROVIDER	REGISTERED DOMAIN	257	1	For example, it might be beneficial for a local chess club to have a presence on the Internet as KingsandQueens.org, but the club would likely not have the resources to establish its own network, maintain a link from this network to the Internet, and implement its own name server.	In this case, the club can contract with an access internet service provider to create the appearance of a registered domain using the resources already established by the internet service provider.	Typically, the club, perhaps with the assistance of the internet service provider, registers the name chosen by the club and contracts with the internet service provider to have that name included in the internet service provider's name server.
9	ACCESS_POINT%ACCESS_INTERNET_SERVICE_PROVIDER	ACCESS POINT	ACCESS INTERNET SERVICE PROVIDER	193	1	Perhaps the fastest growing are wireless connections based on wifi technology.	The strategy is to connect the access point to an access internet service provider and thus provide internet access through that internet service provider to end systems within the access point's broadcast range.	The area within the access point or group of access points' range is often called a hot spot, particularly when the network access is publicly available or free.
10	ACCESS_POINT%GATEWAY	ACCESS POINT	GATEWAY	113	4	In other cases the term gateway may be used to refer to more than just a router.	For example, in most residential wifi networks that are connected to the Internet, the term gateway refers collectively to both the network's access point and the router connected to the access point because these two devices are normally packaged in a single unit.	Methods of Process Communication
11	ACCESS_POINT%HOT_SPOT	ACCESS POINT	HOT SPOT	194	5	The strategy is to connect the access point to an access internet service provider and thus provide internet access through that internet service provider to end systems within the access point's broadcast range.	The area within the access point or group of access points' range is often called a hot spot, particularly when the network access is publicly available or free.	Hot spots can be found in individual residences, hotel and office buildings, small businesses, parks, and in some cases span entire cities.
