ID	PAIR	PREREQUISITE	TARGET	ID_SENT	AGREEMENT	SENT -1	SENT	SENT +1
1	ACCESS_INTERNET_SERVICE_PROVIDER%CONTENT_DELIVERY_NETWORK	ACCESS INTERNET SERVICE PROVIDER	CONTENT DELIVERY NETWORK	345	1	Large-scale streaming services make use of content delivery networks (CDNs), groups of servers distributed strategically around the Internet that specialize in streaming copies of content to nearby end users in their network " neighborhood ".	In many cases, content delivery networks machines may reside in an access internet service provider network, allowing customers of that access internet service provider to stream copies of multimedia content at high speed from a nearby server that is much closer in the network than the streaming service's central server machines.	A networking technology called anycast, which enables an end user to automatically connect to the closest server out of a defined group of servers, helps to make content delivery networks practical.
2	ACCESS_INTERNET_SERVICE_PROVIDER%END_SYSTEM	ACCESS INTERNET SERVICE PROVIDER	END SYSTEM	188	3	Examples include cable and telephone companies that charge for their service as well as organizations such as universities or corporations that take it upon themselves to provide internet access to individuals within their organizations.	The devices that individual users connect to the access internet service providers are known as end systems or hosts.	These end systems may be laptops or PCs, but increasingly range over a multitude of other devices including telephones, video cameras, automobiles, and home appliances.
3	ACCESS_INTERNET_SERVICE_PROVIDER%INTRANET	ACCESS INTERNET SERVICE PROVIDER	INTRANET	186	1	Access to this core is usually provided by an intermediary called an access or tier-3 internet service provider.	An access internet service provider is essentially an independent internet, sometimes called an intranet, operated by a single authority that is in the business of supplying internet access to individual homes and businesses.	Examples include cable and telephone companies that charge for their service as well as organizations such as universities or corporations that take it upon themselves to provide internet access to individuals within their organizations.
4	ACCESS_INTERNET_SERVICE_PROVIDER%REGISTERED_DOMAIN	ACCESS INTERNET SERVICE PROVIDER	REGISTERED DOMAIN	257	3	For example, it might be beneficial for a local chess club to have a presence on the Internet as KingsandQueens.org, but the club would likely not have the resources to establish its own network, maintain a link from this network to the Internet, and implement its own name server.	In this case, the club can contract with an access internet service provider to create the appearance of a registered domain using the resources already established by the internet service provider.	Typically, the club, perhaps with the assistance of the internet service provider, registers the name chosen by the club and contracts with the internet service provider to have that name included in the internet service provider's name server.
5	ACCESS_POINT%GATEWAY	ACCESS POINT	GATEWAY	113	2	In other cases the term gateway may be used to refer to more than just a router.	For example, in most residential wifi networks that are connected to the Internet, the term gateway refers collectively to both the network's access point and the router connected to the access point because these two devices are normally packaged in a single unit.	Methods of Process Communication
6	ACCESS_POINT%HIDDEN_TERMINAL_PROBLEM	ACCESS POINT	HIDDEN TERMINAL PROBLEM	55	4	For example, the machine may not hear the other because its own signal drowns out that of the other machine.	Another cause might be that the signals from the different machines are blocked from each other by objects or distance even though they can all communicate with the central access point (a condition known as the hidden terminal problem, Figure 4.3).	The result is that wireless networks adopt the policy of trying to avoid collisions rather than trying to detect them.
7	ACCESS_POINT%HIDDEN_TERMINAL_PROBLEM	ACCESS POINT	HIDDEN TERMINAL PROBLEM	67	4	This means that collisions between " newcomers " and those that have already been waiting are avoided because a " newcomer " is not allowed to claim a silent channel until any machine that has been waiting is given the opportunity to start.	This protocol, however, does not solve the hidden terminal problem.	After all, any protocol based on distinguishing between a silent or busy channel requires that each individual station be able to hear all the others.
8	ACCESS_POINT%HOT_SPOT	ACCESS POINT	HOT SPOT	194	4	The strategy is to connect the access point to an access internet service provider and thus provide internet access through that internet service provider to end systems within the access point's broadcast range.	The area within the access point or group of access points' range is often called a hot spot, particularly when the network access is publicly available or free.	Hot spots can be found in individual residences, hotel and office buildings, small businesses, parks, and in some cases span entire cities.
9	ADDRESSING_SYSTEM%BIT_PATTERN	ADDRESSING SYSTEM	BIT PATTERN	221	1	Thus, machines throughout the Internet are assigned unique internet protocol addresses. internet protocol addresses are traditionally written in dotted decimal notation in which the bytes of the address are separated by periods and each byte is expressed as an integer represented in traditional base 10 notation.	For example, using dotted decimal notation, the pattern 5.2 would represent the two-byte bit pattern 0000010100000010, which consists of the byte 00000101 (represented by 5) followed by the byte 00000010 (represented by 2), and the pattern 17.12.25 would represent the three-byte bit pattern consisting of the byte 00010001 (which is 17 written in binary notation), followed by the byte 00001100 (12 written in binary), followed by the byte 00011001 (25 written in binary).	In summary, a 32-bit internet protocol address might appear as 192.207.177.133 when expressed in dotted decimal notation.
10	ADDRESSING_SYSTEM%DOMAIN	ADDRESSING SYSTEM	DOMAIN	225	2	For this reason the Internet has an alternative addressing system in which machines are identified by mnemonic names.	This addressing system is based on the concept of a domain, which can be thought of as a " region " of the Internet operated by a single authority such as a university, club, company, or government agency.	The word region is in quotations here because, as we will soon see, such a region may not correspond to a physical area of the Internet.
11	ADDRESSING_SYSTEM%INTERNET_PROTOCOL_ADDRESS	ADDRESSING SYSTEM	INTERNET PROTOCOL ADDRESS	215	2	As we learned in Section 4.1, an internet needs an internet-wide addressing system that assigns a unique identifying address to each computer in the system.	In the Internet these addresses are known as internet protocol addresses.	The term internet protocol refers to " internet protocol ", which is a term we will learn more about in Section 4.4.
12	ADDRESSING_SYSTEM%MNEMONIC_ADDRESS	ADDRESSING SYSTEM	MNEMONIC ADDRESS	242	2	For example, if Yoyodyne Corporation was assigned the domain name yoyodyne.com, then an individual computer at Yoyodyne might have a name such as overthruster.propulsion.yoyodyne.com, meaning that the computer overthruster is in the subdomain propulsion within the domain yoyodyne within the Top-Level Domain com.	We should emphasize that the dotted notation used in mnemonic addresses is not related to the dotted decimal notation used to represent addresses in bit pattern form.	Although mnemonic addresses are convenient for humans, messages are always transferred over the Internet by means of internet protocol addresses.
13	APPLICATION_LAYER%NETWORK_LAYER	APPLICATION LAYER	NETWORK LAYER	504	1	A message typically originates in the application layer.	From there it is passed down through the transport and network layers as it is prepared for transmission, and finally it is transmitted by the link layer.	The message is received by the link layer at the destination and passed back up the hierarchy until it is delivered to the application layer at the message's destination.
14	APPLICATION_LAYER%PORT_NUMBER	APPLICATION LAYER	PORT NUMBER	544	3	Determining which unit within the application layer should receive an incoming message is an important task of the transport layer.	This is handled by assigning unique port numbers (not related to the I/O ports discussed in Chapter 2) to the various units and requiring that the appropriate port number be appended to a message's address before starting the message on its journey.	Then, once the message is received by the transport layer at the destination, the transport layer merely hands the message to the application layer software at the designated port number.
15	APPLICATION_LAYER%PORT_NUMBER	APPLICATION LAYER	PORT NUMBER	545	3	This is handled by assigning unique port numbers (not related to the I/O ports discussed in Chapter 2) to the various units and requiring that the appropriate port number be appended to a message's address before starting the message on its journey.	Then, once the message is received by the transport layer at the destination, the transport layer merely hands the message to the application layer software at the designated port number.	Users of the Internet rarely need to be concerned with port numbers because the common applications have universally accepted port numbers.
16	APPLICATION_LAYER%TRANSPORT_LAYER	APPLICATION LAYER	TRANSPORT LAYER	511	1	For example, software for transferring files using file transfer protocol or for providing remote login capabilities using secure shell have become so common that they are normally considered utility software.	The application layer uses the transport layer to send and receive messages over the Internet in much the same way that you would use a shipping company to send and receive packages.	Just as it is your responsibility to provide an address compatible with the specifications of the shipping company, it is the application layer's responsibility to provide an address that is compatible with the internet infrastructure.
17	BIT_PATTERN%DIGITAL_SIGNATURE	BIT PATTERN	DIGITAL SIGNATURE	716	2	That is, text can be encrypted with the private-key, and because only one party has access to that key, any text that is so encrypted must have originated from that party.	In this manner, the holder of the private-key can produce a bit pattern, called a digital signature, that only that party knows how to produce.	By attaching that signature to a message, the sender can mark the message as being authentic.
18	BIT_PATTERN%INTERNET_PROTOCOL_ADDRESS	BIT PATTERN	INTERNET PROTOCOL ADDRESS	217	1	The term internet protocol refers to " internet protocol ", which is a term we will learn more about in Section 4.4.	Originally, each internet protocol address was a pattern of 32 bits, but to provide a larger set of addresses, the process of converting to 128-bit addresses is currently underway (see the discussion of internet protocolv6 in Section 4.4).	Blocks of consecutively numbered internet protocol addresses are awarded to internet service providers by the Internet Corporation for Assigned Names and Numbers (ICANN), which is a nonprofit corporation established to coordinate the Internet's operation.
19	BRIDGE%ROUTER	BRIDGE	ROUTER	98	1	The connection between networks to form an internet is handled by devices known as routers, which are special purpose computers used for forwarding messages.	Note that the task of a router is different from that of repeaters, bridges, and switches in that routers provide links between networks while allowing each network to maintain its unique internal characteristics.	As an example, Figure 4.5 depicts two wifi star networks and an Ethernet bus network connected by routers.
20	BRIDGE%SWITCH	BRIDGE	SWITCH	84	2	A bridge produces a more efficient system than that produced by a repeater.	A switch is essentially a bridge with multiple connections, allowing it to connect several buses rather than just two.	Thus, a switch produces a network consisting of several buses extending from the switch as spokes on a wheel (Figure 4.4b).
21	BROWSER%CLIENT-SIDE	BROWSER	CLIENT-SIDE	457	1	These needs would require additional activity by either the browser or the webserver.	Such activities are called client-side activities if they are performed by a client (such as a browser) or server-side activities if they are performed by a server (such as a webserver).	As an example, suppose a travel agent wanted customers to be able to identify desired destinations and dates of travel, at which time the agent would present the customer with a customized webpage containing only the information pertinent to that customer's needs.
22	BROWSER%HYPERTEXT	BROWSER	HYPERTEXT	355	1	Web Implementation	Software packages that allow users to access hypertext on the Internet fall into one of two categories: browsers and webservers.	A browser resides on the user's computer and is charged with the tasks of obtaining materials requested by the user and presenting these materials to the user in an organized manner.
23	BROWSER%HYPERTEXT_DOCUMENT	BROWSER	HYPERTEXT DOCUMENT	360	1	Its task is to provide access to the documents under its control as requested by clients (browsers).	Hypertext documents are normally transferred between browsers and webservers using a protocol known as the hypertext transfer protocol (HTTP).	In order to locate and retrieve documents on the Web, each document is given a unique address called a uniform resource locator (URL).
24	BROWSER%HYPERTEXT_MARKUP_LANGUAGE	BROWSER	HYPERTEXT MARKUP LANGUAGE	379	1	This system of tags is known as hypertext markup language (HTML).	Thus, it is in terms of hypertext markup language that an author of a webpage describes the information that a browser needs in order to present the page on the user's screen and to find any related documents referenced by the current page.	The process is analogous to adding typesetting directions to a plain typed text (perhaps using a red pen) so that a typesetter will know how the material should appear in its final form.
25	BROWSER%HYPERTEXT_TRANSFER_PROTOCOL	BROWSER	HYPERTEXT TRANSFER PROTOCOL	360	1	Its task is to provide access to the documents under its control as requested by clients (browsers).	Hypertext documents are normally transferred between browsers and webservers using a protocol known as the hypertext transfer protocol (HTTP).	In order to locate and retrieve documents on the Web, each document is given a unique address called a uniform resource locator (URL).
26	BROWSER%SECURE_SOCKET_LAYER	BROWSER	SECURE SOCKET LAYER	690	2	The backbone of hypertext transfer protocol over secure socket layer is the protocol system known as secure sockets layer (SSL), which was originally developed by Netscape to provide secure communication links between Web clients and servers.	Most browsers indicate the use of secure sockets layer by displaying a tiny padlock icon on the computer screen.	Some use the presence or absence of the icon to indicate whether secure sockets layer is being used; others display the padlock in either the locked or unlocked position.
27	BROWSER%UNIFORM_RESOURCE_LOCATOR	BROWSER	UNIFORM RESOURCE LOCATOR	362	2	In order to locate and retrieve documents on the Web, each document is given a unique address called a uniform resource locator (URL).	Each uniform resource locator contains the information needed by a browser to contact the proper server and request the desired document.	Thus to view a webpage, a person first provides his or her browser with the uniform resource locator of the desired document and then instructs the browser to retrieve and display the document.
28	BROWSER%UNIFORM_RESOURCE_LOCATOR	BROWSER	UNIFORM RESOURCE LOCATOR	363	2	Each uniform resource locator contains the information needed by a browser to contact the proper server and request the desired document.	Thus to view a webpage, a person first provides his or her browser with the uniform resource locator of the desired document and then instructs the browser to retrieve and display the document.	A typical uniform resource locator is presented in Figure 4.8.
29	BROWSER%WEBSERVER	BROWSER	WEBSERVER	358	1	Common Internet browsers include Firefox, Safari, and Internet Explorer.	The webserver resides on a computer containing hypertext documents to be accessed.	Its task is to provide access to the documents under its control as requested by clients (browsers).
