Source,Target

reaction,enzyme
endergonic,energy
exergonic,energy
cell,energy
reaction,endergonic
reaction,exergonic
reaction,energy
enzyme,reactant
enzyme,energy
endergonic,product
protein,endergonic
protein,exergonic
substance,protein
exergonic,product
reaction,protein
catalyst,protein
reactant,endergonic
reactant,exergonic
substance,cell
cell,endergonic
cell,exergonic
cell,product
reaction,cell
catalyst,cell
enzyme,cell
reaction,molecule
reaction,product
enzyme,endergonic
enzyme,protein
enzyme,exergonic
enzyme,product
protein,reactant
substance,enzyme
substance,reactant
reaction,reactant
catalyst,enzyme
catalyst,reactant
reactant,energy
molecule,energy
cell,reactant
molecule,protein
molecule,cell
substance,catalyst
exergonic,endergonic
molecule,endergonic
molecule,exergonic
molecule,product
molecule,enzyme
molecule,reactant
