Source,Target

animal cell,brain
eukaryotic,brain
organ system,brain
cell,animal cell
cell,archaea
cell,bacteria
cell,brain
cell,circulatory system
cell,connective tissue
cell,digestive system
cell,eukaryotic
cell,fungal cell
cell,heart
cell,muscle tissue
cell,nervous system
cell,nervous tissue
cell,organ
cell,organ system
cell,organism
cell,plant cell
cell,prokaryotic
cell,protist cell
cell,stomach
cell,tissue
animal cell,circulatory system
eukaryotic,circulatory system
organism,circulatory system
animal cell,connective tissue
eukaryotic,connective tissue
connective tissue,nervous system
organ,connective tissue
connective tissue,organ system
organism,connective tissue
animal cell,digestive system
eukaryotic,digestive system
organism,digestive system
eukaryotic,animal cell
eukaryotic,fungal cell
eukaryotic,plant cell
eukaryotic,protist cell
animal cell,heart
eukaryotic,heart
organ system,heart
cell,multicellular organism
eukaryotic,multicellular organism
organism,multicellular organism
animal cell,muscle tissue
muscle tissue,digestive system
eukaryotic,muscle tissue
muscle tissue,heart
muscle tissue,organ
organism,muscle tissue
muscle tissue,stomach
animal cell,nervous system
eukaryotic,nervous system
organism,nervous system
animal cell,nervous tissue
eukaryotic,nervous tissue
nervous tissue,nervous system
organ,nervous tissue
nervous tissue,organ system
organism,nervous tissue
animal cell,organ
organ,brain
organ,circulatory system
organ,digestive system
eukaryotic,organ
organ,heart
organ,nervous system
organ,organ system
organism,organ
organ,stomach
animal cell,organ system
organ system,circulatory system
organ system,digestive system
eukaryotic,organ system
organ system,nervous system
organism,organ system
animal cell,organism
organism,archaea
organism,bacteria
eukaryotic,organism
organism,plant cell
prokaryotic,organism
prokaryotic,archaea
prokaryotic,bacteria
animal cell,stomach
digestive system,stomach
eukaryotic,stomach
organ system,stomach
animal cell,tissue
tissue,circulatory system
tissue,connective tissue
tissue,digestive system
eukaryotic,tissue
tissue,muscle tissue
tissue,nervous system
tissue,nervous tissue
tissue,organ
tissue,organ system
tissue,organism
brain,nervous system
organism,brain
connective tissue,circulatory system
organ system,connective tissue
heart,circulatory system
organism,heart
tissue,multicellular organism
organ,muscle tissue
organ system,muscle tissue
nervous tissue,brain
organ system,nervous tissue
organ,organism
organism,animal cell
organism,eukaryotic
organism,fungal cell
organism,prokaryotic
organism,protist cell
stomach,digestive system
organism,stomach
tissue,brain
tissue,heart
organism,tissue
tissue,stomach
