Source,Target

advance mathematics,abstract algebra
abstraction,field
abstraction,group
abstraction,letter
abstraction,number
abstraction,ring
algebra,abstract algebra
algebra,abstraction
algebra,additive inverse
arithmetic,algebra
algebra,constant
algebra,elementary algebra
algebra,elementary equation
algebra,equation
algebra,formula
algebra,letter
algebra,mathematical symbol
mathematics,algebra
algebra,modern algebra
algebra,number
algebra,variable
equation,constant
formula,constant
arithmetic,elementary algebra
elementary algebra,letter
elementary algebra,number
constant,letter
equation,letter
formula,letter
variable,letter
mathematical symbol,abstraction
mathematical symbol,additive inverse
mathematical symbol,constant
mathematical symbol,elementary equation
mathematical symbol,equation
mathematical symbol,field
mathematical symbol,formula
mathematical symbol,group
mathematical symbol,letter
mathematical symbol,number
mathematical symbol,ring
mathematical symbol,variable
mathematics,advance mathematics
mathematics,analysis
mathematics,geometry
mathematics,mathematical symbol
mathematics,number theory
advance mathematics,modern algebra
number,equation
number,formula
equation,variable
formula,variable
additive inverse,abstract algebra
abstract algebra,advance mathematics
arithmetic,abstract algebra
abstract algebra,constant
equation,abstract algebra
formula,abstract algebra
letter,abstract algebra
number,abstract algebra
abstract algebra,variable
abstraction,abstract algebra
additive inverse,abstraction
abstraction,advance mathematics
arithmetic,abstraction
constant,abstraction
elementary algebra,abstraction
equation,abstraction
formula,abstraction
letter,abstraction
abstraction,modern algebra
number,abstraction
variable,abstraction
additive inverse,advance mathematics
arithmetic,advance mathematics
constant,advance mathematics
equation,advance mathematics
formula,advance mathematics
letter,advance mathematics
number,advance mathematics
variable,advance mathematics
additive inverse,algebra
algebra,advance mathematics
constant,algebra
equation,algebra
algebra,field
formula,algebra
algebra,group
letter,algebra
mathematical symbol,algebra
number,algebra
algebra,ring
variable,algebra
number,arithmetic
elementary algebra,abstract algebra
additive inverse,elementary algebra
elementary algebra,advance mathematics
elementary algebra,constant
elementary algebra,equation
elementary algebra,formula
letter,elementary algebra
elementary algebra,modern algebra
number,elementary algebra
elementary algebra,variable
elementary equation,equation
field,abstract algebra
field,advance mathematics
field,arithmetic
elementary algebra,field
field,modern algebra
formula,equation
group,abstract algebra
group,advance mathematics
arithmetic,group
elementary algebra,group
group,modern algebra
number,group
letter,constant
letter,equation
letter,formula
letter,variable
mathematical symbol,abstract algebra
mathematical symbol,advance mathematics
mathematical symbol,arithmetic
mathematical symbol,elementary algebra
mathematical symbol,modern algebra
mathematics,abstract algebra
mathematics,abstraction
mathematics,additive inverse
mathematics,arithmetic
mathematics,constant
mathematics,elementary algebra
mathematics,elementary equation
mathematics,equation
mathematics,field
mathematics,formula
mathematics,group
mathematics,letter
mathematics,modern algebra
mathematics,number
mathematics,ring
mathematics,variable
additive inverse,modern algebra
modern algebra,advance mathematics
arithmetic,modern algebra
modern algebra,constant
equation,modern algebra
formula,modern algebra
letter,modern algebra
number,modern algebra
modern algebra,variable
number,additive inverse
number,constant
number,variable
ring,abstract algebra
ring,advance mathematics
arithmetic,ring
elementary algebra,ring
ring,modern algebra
number,ring
variable,constant
