Source,Target

layer interface,upstanding
layer interface,horizontal layer interface
horizontal layer interface,stratigraphic relationship
horizontal layer interface,spot - height
horizontal layer interface,unit of stratification
surface of strata,horizontal layer interface
spot - height,relief
spot - height,topography
major surface,period interface
surface,unit of stratification
surface,surface of strata
layer,horizontal layer interface
deposit,horizontal layer interface
deposit,interface
deposit,unit of stratification
plan,horizontal layer interface
plan,boundary contour
plan,contour plan
boundary contour,deposit
interface,major surface
interface,period interface
contour plan,major surface
spot - height,contour plan
Dash is running on http://127.0.0.1:8050/

 * Serving Flask app 'visualizza_grafo_PREAP_2input' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
