Source,Target

substance,catalyst
chemical reaction,catalyst
chemical reaction,enzyme
chemical reaction,chemical bond - breaking and - form
chemical reaction,activation energy
molecule,enzyme
molecule,protein
molecule,reactant
biochemical reaction,enzyme
enzyme,chemical bond - breaking and - form
enzyme,exergonic
enzyme,endergonic
protein,enzyme
cell,chemical reaction
activation energy,enzyme
energy,activation energy
reactant,enzyme
reactant,chemical bond - breaking and - form
reactant,exergonic
reactant,endergonic
product,exergonic
product,endergonic
reaction,cell
reaction,enzyme
reaction,exergonic
reaction,endergonic
reaction,activation energy
Dash is running on http://127.0.0.1:8050/

 * Serving Flask app 'visualizza_grafo_PREAP_2input' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
