Source,Target

multicellular organism,tissue
cell,tissue
cell,multicellular organism
cell,prokaryotic
cell,eukaryotic
tissue,muscle tissue
tissue,connective tissue
tissue,nervous tissue
tissue,organ
organ system,digestive system
organ system,circulatory system
organ system,nervous system
organ system,organism
eukaryotic,animal cell
eukaryotic,plant cell
eukaryotic,fungal cell
eukaryotic,protist cell
prokaryotic,bacteria
prokaryotic,archaea
organ,stomach
organ,heart
organ,brain
organ,organ system
Dash is running on http://127.0.0.1:8050/

 * Serving Flask app 'visualizza_grafo_PREAP_2input' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
